bidNtceNo,bidNtceOrd,reNtceYn,rgstTyNm,ntceKindNm,intrbidYn,bidNtceDt,refNo,bidNtceNm,ntceInsttCd,ntceInsttNm,dminsttCd,dminsttNm,bidMethdNm,cntrctCnclsMthdNm,ntceInsttOfclNm,ntceInsttOfclTelNo,ntceInsttOfclEmailAdrs,exctvNm,bidQlfctRgstDt,cmmnSpldmdAgrmntRcptdocMethd,cmmnSpldmdAgrmntClseDt,cmmnSpldmdCorpRgnLmtYn,bidBeginDt,bidClseDt,opengDt,ntceSpecDocUrl1,ntceSpecDocUrl2,ntceSpecDocUrl3,ntceSpecDocUrl4,ntceSpecDocUrl5,ntceSpecDocUrl6,ntceSpecDocUrl7,ntceSpecDocUrl8,ntceSpecDocUrl9,ntceSpecDocUrl10,ntceSpecFileNm1,ntceSpecFileNm2,ntceSpecFileNm3,ntceSpecFileNm4,ntceSpecFileNm5,ntceSpecFileNm6,ntceSpecFileNm7,ntceSpecFileNm8,ntceSpecFileNm9,ntceSpecFileNm10,rbidPermsnYn,pqApplDocRcptMthdNm,pqApplDocRcptDt,tpEvalApplMthdNm,tpEvalApplClseDt,jntcontrctDutyRgnNm1,jntcontrctDutyRgnNm2,jntcontrctDutyRgnNm3,rgnDutyJntcontrctRt,dtlsBidYn,bidPrtcptLmtYn,prearngPrceDcsnMthdNm,totPrdprcNum,drwtPrdprcNum,asignBdgtAmt,presmptPrce,opengPlce,dcmtgOprtnDt,dcmtgOprtnPlce,bidNtceDtlUrl,bidNtceUrl,bidPrtcptFeePaymntYn,bidPrtcptFee,bidGrntymnyPaymntYn,crdtrNm,ppswGnrlSrvceYn,srvceDivNm,prdctClsfcLmtYn,mnfctYn,purchsObjPrdctList,untyNtceNo,cmmnSpldmdMethdCd,cmmnSpldmdMethdNm,stdNtceDocUrl,brffcBidprcPermsnYn,dsgntCmptYn,arsltCmptYn,pqEvalYn,tpEvalYn,ntceDscrptYn,rsrvtnPrceReMkngMthdNm,arsltApplDocRcptMthdNm,arsltReqstdocRcptDt,orderPlanUntyNo,sucsfbidLwltRate,rgstDt,bfSpecRgstNo,infoBizYn,sucsfbidMthdCd,sucsfbidMthdNm,chgDt,linkInsttNm,dminsttOfclEmailAdrs,indstrytyLmtYn,d2bMngRgnLmtYn,d2bMngPblctPlceNm,d2bMngCntrctKindNm,d2bMngCnstwkOutlnCntnts,d2bMngCnstwkPrdCntnts,d2bMngCntrybndDedtBgnDate,d2bMngCntrybndDedtEndDate,d2bMngCnstwkScleCntnts,d2bMngRsrvtnPrceBssOpenYn,d2bMngRsrvtnPrceBssAplYn,d2bMngBssamt,d2bMngUprcSstmTyNm,d2bMngRgstEvalExmpYn,d2bMngCompCorpRsrchObjYn,d2bMngOrgnlbdgtDedtBgnDate,d2bMngOrgnlbdgtDedtEndDate,d2bMngBfEvalObjYn,d2bMngBfEvalClseDt,d2bMngAssmntUplmtRt,d2bMngAssmntLwstlmtRt,d2bMngStdIndstryClsfcCdList,d2bMngPrdctnAbltySbmsnClseDt,d2bMngCnstwkLctNm,d2bMngProgrsSttusNm,d2bMngExetTyNm,d2bMngExetTyCd,d2bMngPrdlstNm,d2bMngPrdlstCd,d2bMngItemNo,d2bMngNgttnStleNm,d2bMngNgttnPlanDate,d2bMngDmndYear,d2bMngDcsnNo,d2bMngCnstwkNo,chgNtceRsn,rbidOpengDt,VAT,indutyVAT,rgnLmtBidLocplcJdgmBssCd,rgnLmtBidLocplcJdgmBssNm,atchSno,eorderDocDivNm,eorderAtchFileNm,eorderAtchFileUrl,dtilPrdctClsfcNo,dtilPrdctClsfcNoNm,prdctSpecNm,prdctQty,prdctUnit,prdctUprc,dlvrTmlmtDt,dlvrDaynum,dlvryCndtnNm,arsltApplDocRcptDt,d2bMngDcmtgOprtnDt,d2bMngDcmtgOprtnPlce,d2bMngRrsrvtnPrceBssAplYn
20220709655,00,N,조달청 또는 나라장터 자체 공고건,긴급,N,2022-07-08 13:38:44,00228081800,도서지역 산림관리를 위한 선박용 드론 스테이션 도입 및 운용체계 구축,1230000,조달청,1400000,산림청,전자입찰,일반(총액)협상에의한계약,이호숙,070-4056-7556,eeehhhsss1@korea.kr,이호숙,2022-07-21 18:00,전자문서,2022-07-21 18:00:00,N,2022-07-20 10:00:00,2022-07-22 10:00:00,2022-07-22 11:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20220709655::00::1::1,,,,,,,,,,20220709655-00_1657247483497_공고서.hwp,,,,,,,,,,N,,,,,,,,,,,비예가,,,504294950,454545455,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20220709655&bidseq=00&releaseYn=Y&taskClCd=5,,,,,조달청장,Y,일반용역,N,,[1^8090901001^농림수산연구조사서비스],,,공동이행,,,N,N,N,N,N,,,,,,2022-07-08 13:38:44,1163780,N,13,협상에 의한 낙찰자 결정,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-22 11:00:00,45454545,,,,1,제안요청서,제안요청서.hwp,https://rfp.g2b.go.kr:8426/cmm/FileDownload.do?atchFileId=000000844597&fileSn=1,,,,,,,,,,,,,
20210830104,00,N,조달청 또는 나라장터 자체 공고건,일반,N,2021-08-31 10:32:05,4680000,익산 왕궁리유적 방재드론 스테이션 구축 및 운영 용역(협상에의한 계약),4680000,전라북도 익산시,4680000,전라북도 익산시,전자입찰,일반(총액)협상에의한계약,유아사나,063-859-5665,purple77@korea.kr,유아사나,2021-09-23 18:00,공고서참조,,N,2021-09-13 11:00:00,2021-09-24 15:00:00,2021-09-30 10:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20210830104::00::1::1,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20210830104::00::2::2,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20210830104::00::C::3,,,,,,,,20210830104-00_1630373373976_입찰공고문(익산 왕궁리유적 방재드론 스테이션 구축 및 운영용역)..hwp,20210830104-00_1630373373976_과업지시서(익산 왕궁리유적 방재드론 스테이션 구축 및 운영용역).hwp,20210830104-00_1630373373976_제안요청서(익산왕궁리유적 방재드론 스테이션 구축 및 운영용역)최종.hwp,,,,,,,,N,,,,,,,,,,N,비예가,,,200000000,181818181,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20210830104&bidseq=00&releaseYn=Y&taskClCd=5,,,,,전라북도 익산시장,N,일반용역,,,,,,공동수급불허,,,N,N,N,N,N,,,,5-1-2021-4680000-000178,,2021-08-31 10:32:05,1035765,,13,협상에 의한 낙찰제,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-30 10:00:00,,,,,,,,,,,,,,,,,,,,,
20210811154,00,Y,조달청 또는 나라장터 자체 공고건,일반,N,2021-08-11 15:01:42,제주특별자치도 공고 제2021-2435호,제주 수월봉 화산쇄설층 방재드론 스테이션 구축 및 운용 용역,6500000,제주특별자치도,6500000,제주특별자치도,직찰,일반(총액)협상에의한계약,계약팀공통,064-710-6595,jeju6591@korea.kr,계약팀공통,,공고서참조,,N,,,2021-08-23 18:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20210811154::00::1::1,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20210811154::00::1::2,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20210811154::00::1::3,,,,,,,,20210811154-00_1628661660353_01. 공고문(최종).hwp,20210811154-00_1628661660353_02. 수월봉 화산쇄설층 방재드론 스테이션 구축 및 운영 용역 과업지시서.hwp,20210811154-00_1628661660353_03. 제안요청서.hwp,,,,,,,,N,,,,,,,,,,N,비예가,,,150000000,136363636,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20210811154&bidseq=00&releaseYn=Y&taskClCd=5,,,,,제주특별자치도지사,N,일반용역,,,,,,공동수급불허,,,N,N,N,N,N,,,,5-1-2021-6500000-000350,,2021-08-11 15:01:42,1027337,,13,협상에 의한 낙찰제,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-23 18:00:00,,,,,,,,,,,,,,,,,,,,,
EA20212073,00,N,연계기관 공고건,일반,,2021-07-29 00:00:00,,240W 중형 드론용 무선충전 스테이션 시스템 및 GUI 제작,B090022,한국전자통신연구원,,한국전자통신연구원,전자입찰,,,,,,,공고서참조,,N,2021-08-09 16:30:00,2021-08-09 17:30:00,2021-08-09 17:30:08,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,59902818,한국전자통신연구원 조달시스템,,,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210900480&bidseq=00,https://ebid.etri.re.kr/ebid/login_page.do?biNo=EA20212073(01)=ebid=Y,,,,,N,일반용역,,,,20210900480,,,,,N,N,N,N,N,,,,,,2021-09-01 10:33:41,,,08,수의,,한국전자통신연구원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09 17:30:08,,,,,,,,,,,,,,,,,,,,,
20210727302,00,N,조달청 또는 나라장터 자체 공고건,일반,N,2021-07-26 15:51:36,제주특별자치도 공고,제주 수월봉 화산쇄설층 방재드론 스테이션 구축 및 운용 용역,6500000,제주특별자치도,6500000,제주특별자치도,직찰,일반(총액)협상에의한계약,계약팀공통,064-710-6595,jeju6591@korea.kr,계약팀공통,,공고서참조,,N,,,2021-08-09 18:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20210727302::00::1::1,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20210727302::00::1::2,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20210727302::00::1::3,,,,,,,,20210727302-00_1627282106340_01. 공고문(최종).hwp,20210727302-00_1627282106360_02. 수월봉 화산쇄설층 방재드론 스테이션 구축 및 운영 용역 과업지시서.hwp,20210727302-00_1627282106360_03. 제안요청서.hwp,,,,,,,,N,,,,,,,,,,N,비예가,,,150000000,136363636,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20210727302&bidseq=00&releaseYn=Y&taskClCd=5,,,,,제주특별자치도지사,N,일반용역,,,,,,공동수급불허,,,N,N,N,N,N,,,,5-1-2021-6500000-000350,,2021-07-26 15:51:36,1027337,,13,협상에 의한 낙찰제,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09 18:00:00,,,,,,,,,,,,,,,,,,,,,
EA20211545,00,N,연계기관 공고건,일반,,2021-06-18 00:00:00,,이동형 드론 도킹스테이션 제작,B090022,한국전자통신연구원,,한국전자통신연구원,전자입찰,,,,,,,공고서참조,,N,2021-07-08 17:30:00,2021-07-08 17:50:00,2021-07-08 17:50:00,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,150000000,한국전자통신연구원 조달시스템,,,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210800786&bidseq=00,https://ebid.etri.re.kr/ebid/login_page.do?biNo=EA20211545(01)=ebid=Y,,,,,N,일반용역,,,,20210800786,,,,,N,N,N,N,N,,,,,,2021-08-02 09:07:59,,,08,수의,,한국전자통신연구원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-08 17:50:00,,,,,,,,,,,,,,,,,,,,,
EA20201531,00,N,연계기관 공고건,일반,,2020-06-11 00:00:00,,240W 스테이션기반 드론 무선충전 전력제어모듈 제작,B090022,한국전자통신연구원,,한국전자통신연구원,전자입찰,,,,,,,공고서참조,,N,2020-06-18 13:00:00,2020-06-18 15:00:00,2020-06-18 15:00:00,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,49900115,한국전자통신연구원 조달시스템,,,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20200700078&bidseq=00,https://ebid.etri.re.kr/ebid/login_page.do?biNo=EA20201531(01)=ebid=Y,,,,,N,일반용역,,,,20200700078,,,,,N,N,N,N,N,,,,,,2020-07-01 08:51:15,,,08,수의,,한국전자통신연구원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-18 15:00:00,,,,,,,,,,,,,,,,,,,,,
20200429229,00,N,조달청 또는 나라장터 자체 공고건,긴급,N,2020-04-21 13:22:39,25204067600,산림드론 스테이션 개발 및 AI 기반 산림 감시체계 구축 연구,1230277,조달청 대전지방조달청,1400000,산림청,전자입찰,제한(총액)협상에의한계약,최병진,070-4056-8385,daejayeon91@korea.kr,하태선,2020-05-06 18:00,전자문서,2020-05-06 18:00:00,N,2020-05-04 10:00:00,2020-05-07 10:00:00,2020-05-07 11:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20200429229::00::1::1,,,,,,,,,,"20200429229-00_1587371871463_공고-국가,협상,2억,공동이행.hwp",,,,,,,,,,N,,,,,,,,,,,비예가,,,201830000,181818182,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20200429229&bidseq=00&releaseYn=Y&taskClCd=5,,,,,대한민국정부대전지방조달청장,Y,일반용역,N,,[1^8090901001^농림수산연구조사서비스],,,공동이행,,,N,N,N,N,N,,,,,,2020-04-21 13:22:39,856202,N,13,협상에 의한 낙찰자 결정,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-07 11:00:00,,,,,1,제안요청서,(공고) 제안요청서(산림드론 스테이션 개발 및 AI기반 산림감시체계 구축사업).hwp,https://rfp.g2b.go.kr:8426/cmm/FileDownload.do?atchFileId=000000369516&fileSn=1,,,,,,,,,,,,,
20230604105,00,N,조달청 또는 나라장터 자체 공고건,긴급,N,2023-06-02 17:17:23,경영지원실-3429,수재해 재난관리를 위한 원격 드론스테이션 시스템 구매,B554011,한국수자원조사기술원,B554011,한국수자원조사기술원,전자입찰,제한(총액)규격가격동시,이재찬,031-931-0764,ljc0119@kihs.re.kr,이재찬,2023-06-07 18:00:00,공고서참조,,N,2023-06-02 18:00:00,2023-06-08 10:00:00,2023-06-08 11:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230604105::00::1::1,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230604105::00::1::2,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230604105::00::1::3,,,,,,,,20230604105-00_1685693270020_붙임2.입찰공고문.hwp,20230604105-00_1685693270020_붙임3.제안요청서(수정).hwp,20230604105-00_1685693270040_붙임4.규격서.hwp,,,,,,,,N,,,,,,,,,,,복수예가,15,4,99000000,90000000,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230604105&bidseq=00&releaseYn=Y&taskClCd=1,,,,,한국수자원조사기술원장,,,,N,"[1^2519154101^드론스테이션],[1^2513189901^드론]",,4,공동수급불허,,,N,,,,,,없음,,1-3-2023-B554011-000010,,2023-06-02 17:17:23,1300373,,5,제안서적격자중 예가내 최저투찰자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000000,,,,,,,,2519154101,드론스테이션,규격서 및 제안요청서 참조,1,식,,,30,과업내역에 따름,,,,
20230601047,00,N,조달청 또는 나라장터 자체 공고건,일반,N,2023-06-02 10:33:07,대전도시과학고등학교 공고 제2023-45호,2023학년도 드론지형정보과 토탈스테이션 구매 소액수의 견적 공고,7430351,대전광역시교육청 대전도시과학고등학교,7430351,대전광역시교육청 대전도시과학고등학교,전자입찰,수의(총액)소액수의,오창열,042-540-2105,bisdj2100@korea.kr,오창열,2023-06-08 18:00:00,공고서참조,,N,2023-06-02 16:00:00,2023-06-09 16:00:00,2023-06-12 11:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230601047::00::1::1,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230601047::00::2::2,,,,,,,,,20230601047-00_1685600211486_공고서(2023학년도 드론지형정보과 기자재(토탈스테이션 구매).hwp,20230601047-00_1685600211486_규격서(토탈스테이션).pdf,,,,,,,,,Y,,,,,,,,,,,복수예가,15,4,17000000,15454545,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230601047&bidseq=00&releaseYn=Y&taskClCd=1,,,,,대전도시과학고등학교장,,,,N,[1^4111161302^거리측정기],,4,공동수급불허,,,N,,,,,재입찰시 예비가격을 다시 생성하여 예정가격이 산정됩니다.,없음,,1-3-2023-7430351-000003,90,2023-06-02 10:33:07,,,4,제한적최저가(낙찰하한율),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1545455,,0002,본사 또는 참여지사 소재지,,,,,4111161302,거리측정기,규격서 참조,1,식,,2023-06-23 00:00:00,,납품장소도,,,,
